region,date,median_R_mean,median_R_highHPD,median_R_lowHPD
GR,2020-06-05,0.88,5.41,0
GR,2020-06-06,0.89,5.21,0
GR,2020-06-07,0.85,5.61,0
GR,2020-06-08,0.81,5.54,0
GR,2020-06-09,0.86,5.85,0
GR,2020-06-10,1.01,6.6,0
GR,2020-06-11,1.41,7.98,0
GR,2020-06-12,2.03,9.17,0
GR,2020-06-13,2.66,10.59,0.02
GR,2020-06-14,3.37,12.09,0.07
GR,2020-06-15,3.59,10.99,0.16
GR,2020-06-16,3.31,9.81,0.26
GR,2020-06-17,2.79,8,0.27
GR,2020-06-18,2.26,6.3,0.26
GR,2020-06-19,1.84,5.01,0.23
GR,2020-06-20,1.52,4.16,0.18
GR,2020-06-21,1.3,3.64,0.17
GR,2020-06-22,1.16,3.22,0.15
GR,2020-06-23,1.07,2.95,0.14
GR,2020-06-24,1.02,2.83,0.14
GR,2020-06-25,1.05,2.82,0.14
GR,2020-06-26,1.1,2.91,0.15
GR,2020-06-27,1.19,3.06,0.18
GR,2020-06-28,1.28,3.17,0.23
GR,2020-06-29,1.34,3.23,0.26
GR,2020-06-30,1.36,3.26,0.27
GR,2020-07-01,1.34,3.14,0.28
GR,2020-07-02,1.29,2.95,0.27
GR,2020-07-03,1.2,2.81,0.26
GR,2020-07-04,1.12,2.67,0.25
GR,2020-07-05,1.05,2.53,0.23
GR,2020-07-06,1.01,2.45,0.22
GR,2020-07-07,1.02,2.46,0.23
GR,2020-07-08,1.17,2.66,0.29
GR,2020-07-09,1.43,3.05,0.44
GR,2020-07-10,1.84,3.57,0.68
GR,2020-07-11,2.28,4.09,0.99
GR,2020-07-12,2.67,4.48,1.25
GR,2020-07-13,2.75,4.4,1.45
GR,2020-07-14,2.56,3.98,1.42
GR,2020-07-15,2.23,3.4,1.3
GR,2020-07-16,1.9,2.87,1.12
GR,2020-07-17,1.63,2.43,0.97
GR,2020-07-18,1.42,2.1,0.84
GR,2020-07-19,1.23,1.87,0.74
GR,2020-07-20,1.1,1.66,0.65
GR,2020-07-21,0.97,1.49,0.56
GR,2020-07-22,0.85,1.34,0.47
GR,2020-07-23,0.73,1.2,0.39
GR,2020-07-24,0.64,1.07,0.32
GR,2020-07-25,0.57,0.99,0.26
GR,2020-07-26,0.52,0.94,0.23
GR,2020-07-27,0.5,0.93,0.2
GR,2020-07-28,0.5,0.97,0.19
GR,2020-07-29,0.52,1.03,0.18
GR,2020-07-30,0.55,1.1,0.17
GR,2020-07-31,0.57,1.18,0.18
GR,2020-08-01,0.62,1.28,0.18
GR,2020-08-02,0.66,1.39,0.19
GR,2020-08-03,0.73,1.54,0.21
GR,2020-08-04,0.83,1.76,0.25
GR,2020-08-05,0.94,2.01,0.3
GR,2020-08-06,1.11,2.25,0.37
GR,2020-08-07,1.25,2.45,0.46
GR,2020-08-08,1.38,2.6,0.54
GR,2020-08-09,1.48,2.75,0.61
GR,2020-08-10,1.55,2.76,0.67
GR,2020-08-11,1.58,2.76,0.73
GR,2020-08-12,1.58,2.69,0.76
GR,2020-08-13,1.54,2.58,0.76
GR,2020-08-14,1.46,2.45,0.74
GR,2020-08-15,1.38,2.29,0.7
GR,2020-08-16,1.28,2.13,0.67
GR,2020-08-17,1.18,1.94,0.61
GR,2020-08-18,1.08,1.78,0.54
GR,2020-08-19,0.97,1.65,0.48
GR,2020-08-20,0.89,1.52,0.42
GR,2020-08-21,0.82,1.42,0.38
GR,2020-08-22,0.76,1.36,0.35
GR,2020-08-23,0.75,1.35,0.32
GR,2020-08-24,0.76,1.36,0.32
GR,2020-08-25,0.8,1.44,0.34
GR,2020-08-26,0.86,1.57,0.38
GR,2020-08-27,0.96,1.7,0.43
GR,2020-08-28,1.1,1.91,0.51
GR,2020-08-29,1.25,2.13,0.6
GR,2020-08-30,1.37,2.26,0.7
GR,2020-08-31,1.43,2.31,0.76
GR,2020-09-01,1.41,2.28,0.77
GR,2020-09-02,1.37,2.16,0.73
GR,2020-09-03,1.25,2.02,0.68
GR,2020-09-04,1.15,1.84,0.61
GR,2020-09-05,1.03,1.67,0.55
GR,2020-09-06,0.94,1.54,0.49
GR,2020-09-07,0.85,1.43,0.43
GR,2020-09-08,0.77,1.32,0.38
GR,2020-09-09,0.7,1.24,0.32
GR,2020-09-10,0.65,1.17,0.28
GR,2020-09-11,0.61,1.15,0.24
GR,2020-09-12,0.6,1.15,0.23
GR,2020-09-13,0.63,1.21,0.23
GR,2020-09-14,0.7,1.35,0.26
GR,2020-09-15,0.79,1.53,0.32
GR,2020-09-16,0.95,1.77,0.39
GR,2020-09-17,1.13,2.08,0.49
GR,2020-09-18,1.38,2.42,0.63
GR,2020-09-19,1.63,2.73,0.82
GR,2020-09-20,1.82,2.94,0.99
GR,2020-09-21,2,3.06,1.12
GR,2020-09-22,2.11,3.15,1.29
GR,2020-09-23,2.18,3.17,1.4
GR,2020-09-24,2.23,3.1,1.49
GR,2020-09-25,2.22,3.02,1.55
GR,2020-09-26,2.19,2.92,1.56
GR,2020-09-27,2.11,2.76,1.55
GR,2020-09-28,2,2.58,1.5
GR,2020-09-29,1.87,2.39,1.43
GR,2020-09-30,1.74,2.2,1.34
GR,2020-10-01,1.64,2.04,1.28
GR,2020-10-02,1.55,1.91,1.22
GR,2020-10-03,1.47,1.81,1.17
GR,2020-10-04,1.42,1.75,1.13
GR,2020-10-05,1.41,1.71,1.14
GR,2020-10-06,1.42,1.72,1.15
GR,2020-10-07,1.45,1.73,1.19
GR,2020-10-08,1.49,1.77,1.24
GR,2020-10-09,1.55,1.82,1.3
GR,2020-10-10,1.6,1.87,1.36
GR,2020-10-11,1.63,1.87,1.39
GR,2020-10-12,1.62,1.86,1.4
GR,2020-10-13,1.6,1.82,1.39
GR,2020-10-14,1.57,1.77,1.37
GR,2020-10-15,1.53,1.73,1.34
GR,2020-10-16,1.49,1.67,1.31
GR,2020-10-17,1.44,1.61,1.27
GR,2020-10-18,1.37,1.54,1.22
GR,2020-10-19,1.3,1.45,1.16
GR,2020-10-20,1.23,1.37,1.09
GR,2020-10-21,1.16,1.29,1.03
GR,2020-10-22,1.1,1.23,0.98
GR,2020-10-23,1.07,1.19,0.95
GR,2020-10-24,1.04,1.16,0.92
GR,2020-10-25,1.01,1.13,0.9
GR,2020-10-26,0.99,1.11,0.88
GR,2020-10-27,0.96,1.08,0.86
GR,2020-10-28,0.95,1.06,0.84
GR,2020-10-29,0.94,1.06,0.84
GR,2020-10-30,0.95,1.06,0.84
GR,2020-10-31,0.97,1.08,0.86
GR,2020-11-01,0.97,1.09,0.86
GR,2020-11-02,0.97,1.08,0.86
GR,2020-11-03,0.96,1.08,0.85
GR,2020-11-04,0.95,1.07,0.84
GR,2020-11-05,0.95,1.06,0.84
GR,2020-11-06,0.94,1.06,0.83
GR,2020-11-07,0.95,1.07,0.84
GR,2020-11-08,0.96,1.07,0.84
GR,2020-11-09,0.96,1.08,0.85
GR,2020-11-10,0.97,1.09,0.85
GR,2020-11-11,0.97,1.1,0.86
GR,2020-11-12,0.98,1.1,0.86
GR,2020-11-13,0.99,1.11,0.87
GR,2020-11-14,1.01,1.13,0.89
GR,2020-11-15,1.01,1.14,0.89
GR,2020-11-16,1.01,1.14,0.89
GR,2020-11-17,1,1.13,0.89
GR,2020-11-18,1,1.12,0.88
GR,2020-11-19,0.99,1.12,0.87
GR,2020-11-20,0.99,1.12,0.88
GR,2020-11-21,1.01,1.13,0.89
GR,2020-11-22,1.02,1.14,0.9
GR,2020-11-23,1.02,1.15,0.9
GR,2020-11-24,1.03,1.15,0.91
GR,2020-11-25,1.03,1.16,0.91
GR,2020-11-26,1.05,1.18,0.93
GR,2020-11-27,1.07,1.2,0.95
GR,2020-11-28,1.11,1.24,0.99
GR,2020-11-29,1.14,1.27,1.01
GR,2020-11-30,1.15,1.27,1.02
GR,2020-12-01,1.14,1.27,1.02
GR,2020-12-02,1.12,1.25,1
GR,2020-12-03,1.09,1.22,0.98
GR,2020-12-04,1.07,1.19,0.96
GR,2020-12-05,1.05,1.17,0.94
GR,2020-12-06,1.03,1.15,0.92
GR,2020-12-07,1.01,1.12,0.9
GR,2020-12-08,0.98,1.09,0.88
GR,2020-12-09,0.95,1.06,0.85
GR,2020-12-10,0.93,1.04,0.83
GR,2020-12-11,0.91,1.02,0.81
GR,2020-12-12,0.89,1,0.79
GR,2020-12-13,0.87,0.98,0.77
JU,2020-03-03,1.43,2.43,0.69
JU,2020-03-04,1.5,2.69,0.65
JU,2020-03-05,1.63,2.81,0.77
JU,2020-03-06,1.7,2.84,0.87
JU,2020-03-07,1.78,2.92,0.91
JU,2020-03-08,1.78,2.82,0.97
JU,2020-03-09,1.75,2.7,1
JU,2020-03-10,1.74,2.62,1.04
JU,2020-03-11,1.71,2.55,1.05
JU,2020-03-12,1.68,2.45,1.06
JU,2020-03-13,1.64,2.34,1.06
JU,2020-03-14,1.58,2.23,1.05
JU,2020-03-15,1.48,2.07,0.99
JU,2020-03-16,1.37,1.92,0.92
JU,2020-03-17,1.26,1.74,0.84
JU,2020-03-18,1.13,1.6,0.75
JU,2020-03-19,1.04,1.46,0.68
JU,2020-03-20,0.95,1.35,0.62
JU,2020-03-21,0.87,1.25,0.56
JU,2020-03-22,0.8,1.16,0.5
JU,2020-03-23,0.72,1.08,0.44
JU,2020-03-24,0.66,1.02,0.39
JU,2020-03-25,0.62,0.96,0.34
JU,2020-03-26,0.58,0.92,0.3
JU,2020-03-27,0.54,0.9,0.28
JU,2020-03-28,0.53,0.92,0.26
JU,2020-03-29,0.54,0.94,0.25
JU,2020-03-30,0.55,0.99,0.24
JU,2020-03-31,0.56,1.02,0.23
JU,2020-04-01,0.55,1.04,0.21
JU,2020-04-02,0.53,1.06,0.19
JU,2020-04-03,0.52,1.08,0.17
JU,2020-04-04,0.51,1.1,0.15
JU,2020-04-05,0.5,1.12,0.13
JU,2020-04-06,0.49,1.16,0.11
JU,2020-04-07,0.5,1.21,0.1
JU,2020-04-08,0.51,1.27,0.09
JU,2020-04-09,0.52,1.37,0.09
JU,2020-04-10,0.54,1.49,0.08
JU,2020-04-11,0.59,1.67,0.08
JU,2020-04-12,0.65,1.86,0.09
JU,2020-04-13,0.71,1.99,0.09
JU,2020-04-14,0.74,2.11,0.08
JU,2020-04-15,0.71,2.13,0.07
JU,2020-04-16,0.67,2.08,0.05
JU,2020-04-17,0.6,1.99,0.03
JU,2020-04-18,0.51,1.87,0.01
JU,2020-04-19,0.44,1.76,0
JU,2020-04-20,0.37,1.7,0
JU,2020-04-21,0.35,1.74,0
JU,2020-04-22,0.35,1.94,0
JU,2020-04-23,0.48,2.38,0
JU,2020-04-24,0.67,3.17,0
JU,2020-04-25,0.97,3.98,0
JU,2020-04-26,1.25,4.92,0.02
JU,2020-04-27,1.44,5.82,0.03
JU,2020-04-28,1.51,5.74,0.03
JU,2020-04-29,1.41,5.18,0.03
JU,2020-04-30,1.21,4.63,0.02
JU,2020-05-01,1.01,4,0.01
JU,2020-05-02,0.84,3.55,0.01
JU,2020-05-03,0.7,3.18,0
JU,2020-05-04,0.57,2.94,0
JU,2020-05-05,0.5,2.74,0
JU,2020-05-06,0.43,2.67,0
JU,2020-05-07,0.4,2.66,0
JU,2020-05-08,0.42,2.81,0
JU,2020-05-09,0.54,3.36,0
JU,2020-05-10,0.73,4.23,0
JU,2020-05-11,1.07,5.28,0
JU,2020-05-12,1.31,5.98,0
JU,2020-05-13,1.36,6.44,0
JU,2020-05-14,1.47,7.14,0
JU,2020-05-15,1.49,6.97,0
JU,2020-05-16,1.44,6.36,0.01
JU,2020-05-17,1.29,5.81,0
JU,2020-05-18,1.11,5.27,0
JU,2020-05-19,0.95,4.57,0
JU,2020-05-20,0.84,3.97,0
JU,2020-05-21,0.7,3.54,0
JU,2020-05-22,0.59,3.27,0
JU,2020-05-23,0.51,3.08,0
JU,2020-05-24,0.49,3.03,0
JU,2020-05-25,0.46,2.99,0
JU,2020-05-26,0.41,2.97,0
JU,2020-05-27,0.35,3.03,0
JU,2020-05-28,0.31,3.24,0
JU,2020-05-29,0.34,3.5,0
JU,2020-05-30,0.44,4.44,0
JU,2020-05-31,0.73,6.55,0
JU,2020-06-01,1.22,9.51,0
JU,2020-06-02,1.81,11.17,0
JU,2020-06-03,2.22,11.82,0
JU,2020-06-04,2.23,11.57,0
JU,2020-06-05,2,11.05,0
JU,2020-06-06,1.73,9.74,0
JU,2020-06-07,1.61,8.82,0
JU,2020-06-08,1.72,8.5,0
JU,2020-06-09,1.95,8.35,0.01
JU,2020-06-10,2.14,8.61,0.04
JU,2020-06-11,2.5,8.49,0.11
JU,2020-06-12,2.65,8.52,0.23
JU,2020-06-13,2.95,8.26,0.42
JU,2020-06-14,2.99,7.41,0.59
JU,2020-06-15,2.94,6.74,0.72
JU,2020-06-16,2.81,5.98,0.82
JU,2020-06-17,2.59,5.31,0.87
JU,2020-06-18,2.45,4.78,0.91
JU,2020-06-19,2.28,4.25,0.95
JU,2020-06-20,2.12,3.77,0.94
JU,2020-06-21,1.89,3.32,0.88
JU,2020-06-22,1.7,2.94,0.81
JU,2020-06-23,1.5,2.58,0.73
JU,2020-06-24,1.33,2.29,0.63
JU,2020-06-25,1.17,2.02,0.56
JU,2020-06-26,1.05,1.83,0.49
JU,2020-06-27,0.96,1.68,0.43
JU,2020-06-28,0.87,1.56,0.37
JU,2020-06-29,0.78,1.43,0.32
JU,2020-06-30,0.69,1.32,0.26
JU,2020-07-01,0.62,1.23,0.2
JU,2020-07-02,0.55,1.17,0.16
JU,2020-07-03,0.49,1.11,0.12
JU,2020-07-04,0.45,1.1,0.09
JU,2020-07-05,0.45,1.12,0.07
JU,2020-07-06,0.43,1.13,0.06
JU,2020-07-07,0.41,1.17,0.04
JU,2020-07-08,0.39,1.2,0.03
JU,2020-07-09,0.34,1.22,0.01
JU,2020-07-10,0.31,1.22,0
JU,2020-07-11,0.28,1.23,0
JU,2020-07-12,0.26,1.3,0
JU,2020-07-13,0.25,1.37,0
JU,2020-07-14,0.25,1.54,0
JU,2020-07-15,0.28,1.82,0
JU,2020-07-16,0.36,2.33,0
JU,2020-07-17,0.48,2.99,0
JU,2020-07-18,0.63,3.51,0
JU,2020-07-19,0.74,4.03,0
JU,2020-07-20,0.79,4.45,0
JU,2020-07-21,0.8,4.77,0
JU,2020-07-22,0.73,5,0
JU,2020-07-23,0.62,4.91,0
JU,2020-07-24,0.53,4.52,0
JU,2020-07-25,0.54,4.67,0
JU,2020-07-26,0.69,5.58,0
JU,2020-07-27,0.96,7.4,0
JU,2020-07-28,1.46,9.71,0
JU,2020-07-29,1.91,11.5,0
JU,2020-07-30,2.22,10.96,0
JU,2020-07-31,2.25,10.1,0
JU,2020-08-01,2.18,10.12,0.01
JU,2020-08-02,2.29,9.38,0.03
JU,2020-08-03,2.17,8.23,0.04
JU,2020-08-04,2,7.19,0.05
JU,2020-08-05,1.77,6.26,0.05
JU,2020-08-06,1.63,5.6,0.06
JU,2020-08-07,1.51,5.04,0.06
JU,2020-08-08,1.44,4.58,0.08
JU,2020-08-09,1.47,4.32,0.1
JU,2020-08-10,1.38,4.17,0.11
JU,2020-08-11,1.36,4.08,0.1
JU,2020-08-12,1.32,3.93,0.09
JU,2020-08-13,1.22,3.66,0.09
JU,2020-08-14,1.12,3.39,0.08
JU,2020-08-15,1.08,3.23,0.07
JU,2020-08-16,1.08,3.31,0.09
JU,2020-08-17,1.2,3.45,0.11
JU,2020-08-18,1.3,3.51,0.16
JU,2020-08-19,1.4,3.82,0.21
JU,2020-08-20,1.52,3.93,0.25
JU,2020-08-21,1.56,3.93,0.29
JU,2020-08-22,1.59,3.95,0.34
JU,2020-08-23,1.62,3.8,0.37
JU,2020-08-24,1.55,3.55,0.39
JU,2020-08-25,1.48,3.3,0.4
JU,2020-08-26,1.45,3.09,0.41
JU,2020-08-27,1.41,2.97,0.42
JU,2020-08-28,1.4,2.85,0.45
JU,2020-08-29,1.36,2.78,0.47
JU,2020-08-30,1.34,2.7,0.47
JU,2020-08-31,1.3,2.59,0.44
JU,2020-09-01,1.21,2.42,0.42
JU,2020-09-02,1.13,2.25,0.39
JU,2020-09-03,1.07,2.12,0.36
JU,2020-09-04,1.02,2.06,0.35
JU,2020-09-05,1.02,2.05,0.34
JU,2020-09-06,1.04,2.06,0.36
JU,2020-09-07,1.06,2.08,0.37
JU,2020-09-08,1.05,2.07,0.37
JU,2020-09-09,1.03,2.06,0.37
JU,2020-09-10,1.04,2.05,0.37
JU,2020-09-11,1.05,2.06,0.38
JU,2020-09-12,1.06,2.09,0.39
JU,2020-09-13,1.08,2.09,0.41
JU,2020-09-14,1.12,2.12,0.42
JU,2020-09-15,1.15,2.15,0.44
JU,2020-09-16,1.16,2.16,0.46
JU,2020-09-17,1.16,2.15,0.47
JU,2020-09-18,1.17,2.16,0.5
JU,2020-09-19,1.23,2.22,0.54
JU,2020-09-20,1.32,2.33,0.61
JU,2020-09-21,1.47,2.51,0.72
JU,2020-09-22,1.7,2.77,0.87
JU,2020-09-23,1.95,3.04,1.09
JU,2020-09-24,2.19,3.28,1.34
JU,2020-09-25,2.38,3.4,1.53
JU,2020-09-26,2.43,3.37,1.64
JU,2020-09-27,2.43,3.27,1.69
JU,2020-09-28,2.36,3.11,1.72
JU,2020-09-29,2.31,2.98,1.72
JU,2020-09-30,2.24,2.83,1.72
JU,2020-10-01,2.17,2.7,1.71
JU,2020-10-02,2.12,2.59,1.69
JU,2020-10-03,2.04,2.46,1.66
JU,2020-10-04,1.94,2.32,1.6
JU,2020-10-05,1.82,2.16,1.52
JU,2020-10-06,1.72,2.02,1.44
JU,2020-10-07,1.64,1.92,1.39
JU,2020-10-08,1.61,1.87,1.38
JU,2020-10-09,1.6,1.85,1.38
JU,2020-10-10,1.6,1.83,1.38
JU,2020-10-11,1.57,1.78,1.37
JU,2020-10-12,1.52,1.72,1.33
JU,2020-10-13,1.45,1.64,1.28
JU,2020-10-14,1.39,1.56,1.22
JU,2020-10-15,1.34,1.5,1.19
JU,2020-10-16,1.32,1.47,1.17
JU,2020-10-17,1.3,1.45,1.16
JU,2020-10-18,1.28,1.43,1.15
JU,2020-10-19,1.25,1.39,1.12
JU,2020-10-20,1.22,1.35,1.09
JU,2020-10-21,1.17,1.3,1.05
JU,2020-10-22,1.13,1.25,1.01
JU,2020-10-23,1.09,1.2,0.98
JU,2020-10-24,1.04,1.16,0.94
JU,2020-10-25,1.01,1.12,0.9
JU,2020-10-26,0.97,1.08,0.87
JU,2020-10-27,0.93,1.03,0.83
JU,2020-10-28,0.89,0.99,0.79
JU,2020-10-29,0.86,0.96,0.76
JU,2020-10-30,0.83,0.94,0.74
JU,2020-10-31,0.81,0.91,0.72
JU,2020-11-01,0.79,0.89,0.69
JU,2020-11-02,0.75,0.85,0.65
JU,2020-11-03,0.71,0.81,0.62
JU,2020-11-04,0.68,0.78,0.59
JU,2020-11-05,0.66,0.76,0.56
JU,2020-11-06,0.64,0.75,0.55
JU,2020-11-07,0.64,0.75,0.54
JU,2020-11-08,0.64,0.76,0.54
JU,2020-11-09,0.66,0.78,0.54
JU,2020-11-10,0.67,0.8,0.55
JU,2020-11-11,0.69,0.82,0.56
JU,2020-11-12,0.7,0.85,0.57
JU,2020-11-13,0.73,0.88,0.59
JU,2020-11-14,0.77,0.93,0.62
JU,2020-11-15,0.8,0.98,0.65
JU,2020-11-16,0.83,1.01,0.67
JU,2020-11-17,0.86,1.05,0.69
JU,2020-11-18,0.86,1.06,0.69
JU,2020-11-19,0.85,1.04,0.68
JU,2020-11-20,0.84,1.03,0.66
JU,2020-11-21,0.83,1.03,0.65
JU,2020-11-22,0.82,1.02,0.64
JU,2020-11-23,0.82,1.03,0.63
JU,2020-11-24,0.81,1.02,0.62
JU,2020-11-25,0.8,1.01,0.61
JU,2020-11-26,0.79,1,0.6
JU,2020-11-27,0.79,1.01,0.59
JU,2020-11-28,0.8,1.02,0.6
JU,2020-11-29,0.82,1.06,0.62
JU,2020-11-30,0.87,1.12,0.65
JU,2020-12-01,0.94,1.21,0.71
JU,2020-12-02,1.03,1.32,0.78
JU,2020-12-03,1.14,1.44,0.87
JU,2020-12-04,1.23,1.54,0.95
JU,2020-12-05,1.3,1.61,1.02
JU,2020-12-06,1.32,1.64,1.04
JU,2020-12-07,1.31,1.61,1.04
JU,2020-12-08,1.26,1.54,1
JU,2020-12-09,1.19,1.46,0.95
JU,2020-12-10,1.14,1.39,0.91
JU,2020-12-11,1.09,1.33,0.87
JU,2020-12-12,1.05,1.28,0.84
JU,2020-12-13,1.02,1.25,0.81
LU,2020-03-06,2.84,3.91,1.95
LU,2020-03-07,2.66,3.55,1.9
LU,2020-03-08,2.42,3.17,1.76
LU,2020-03-09,2.16,2.8,1.59
LU,2020-03-10,1.94,2.49,1.47
LU,2020-03-11,1.78,2.25,1.35
LU,2020-03-12,1.65,2.08,1.28
LU,2020-03-13,1.55,1.93,1.21
LU,2020-03-14,1.46,1.81,1.14
LU,2020-03-15,1.37,1.69,1.07
LU,2020-03-16,1.27,1.57,1.01
LU,2020-03-17,1.18,1.47,0.93
LU,2020-03-18,1.11,1.37,0.88
LU,2020-03-19,1.05,1.3,0.82
LU,2020-03-20,1,1.24,0.78
LU,2020-03-21,0.95,1.18,0.74
LU,2020-03-22,0.9,1.12,0.7
LU,2020-03-23,0.85,1.07,0.65
LU,2020-03-24,0.8,1.02,0.61
LU,2020-03-25,0.75,0.97,0.56
LU,2020-03-26,0.72,0.93,0.53
LU,2020-03-27,0.69,0.91,0.51
LU,2020-03-28,0.68,0.9,0.49
LU,2020-03-29,0.68,0.91,0.48
LU,2020-03-30,0.67,0.92,0.47
LU,2020-03-31,0.67,0.92,0.46
LU,2020-04-01,0.66,0.92,0.45
LU,2020-04-02,0.64,0.9,0.42
LU,2020-04-03,0.63,0.9,0.4
LU,2020-04-04,0.63,0.91,0.4
LU,2020-04-05,0.65,0.95,0.4
LU,2020-04-06,0.68,1.02,0.42
LU,2020-04-07,0.72,1.08,0.43
LU,2020-04-08,0.75,1.13,0.45
LU,2020-04-09,0.78,1.18,0.46
LU,2020-04-10,0.82,1.23,0.48
LU,2020-04-11,0.85,1.29,0.5
LU,2020-04-12,0.89,1.35,0.52
LU,2020-04-13,0.92,1.41,0.54
LU,2020-04-14,0.94,1.45,0.56
LU,2020-04-15,0.96,1.46,0.57
LU,2020-04-16,0.96,1.47,0.57
LU,2020-04-17,0.94,1.45,0.54
LU,2020-04-18,0.9,1.4,0.5
LU,2020-04-19,0.85,1.34,0.47
LU,2020-04-20,0.79,1.26,0.42
LU,2020-04-21,0.73,1.19,0.38
LU,2020-04-22,0.69,1.14,0.35
LU,2020-04-23,0.65,1.11,0.31
LU,2020-04-24,0.61,1.09,0.27
LU,2020-04-25,0.57,1.04,0.23
LU,2020-04-26,0.53,1.01,0.2
LU,2020-04-27,0.48,0.97,0.16
LU,2020-04-28,0.43,0.95,0.12
LU,2020-04-29,0.4,0.93,0.09
LU,2020-04-30,0.37,0.94,0.06
LU,2020-05-01,0.37,0.98,0.06
LU,2020-05-02,0.41,1.11,0.06
LU,2020-05-03,0.5,1.35,0.07
LU,2020-05-04,0.67,1.73,0.11
LU,2020-05-05,0.9,2.25,0.17
LU,2020-05-06,1.19,2.74,0.26
LU,2020-05-07,1.42,3.05,0.37
LU,2020-05-08,1.5,3.22,0.44
LU,2020-05-09,1.51,3.16,0.47
LU,2020-05-10,1.41,2.95,0.44
LU,2020-05-11,1.28,2.73,0.39
LU,2020-05-12,1.17,2.45,0.34
LU,2020-05-13,0.99,2.21,0.27
LU,2020-05-14,0.85,1.97,0.21
LU,2020-05-15,0.7,1.72,0.14
LU,2020-05-16,0.57,1.49,0.09
LU,2020-05-17,0.45,1.31,0.04
LU,2020-05-18,0.36,1.18,0.02
LU,2020-05-19,0.27,1.07,0
LU,2020-05-20,0.21,1,0
LU,2020-05-21,0.18,0.98,0
LU,2020-05-22,0.17,1.06,0
LU,2020-05-23,0.21,1.3,0
LU,2020-05-24,0.29,1.8,0
LU,2020-05-25,0.41,2.54,0
LU,2020-05-26,0.65,3.71,0
LU,2020-05-27,0.94,4.83,0
LU,2020-05-28,1.24,5.4,0
LU,2020-05-29,1.45,6.52,0
LU,2020-05-30,1.6,7.03,0.01
LU,2020-05-31,1.59,6.82,0.01
LU,2020-06-01,1.65,6.62,0.02
LU,2020-06-02,1.62,6.33,0.03
LU,2020-06-03,1.65,5.78,0.04
LU,2020-06-04,1.58,5.56,0.05
LU,2020-06-05,1.61,5.7,0.06
LU,2020-06-06,1.66,5.39,0.11
LU,2020-06-07,1.73,5.21,0.12
LU,2020-06-08,1.69,4.92,0.16
LU,2020-06-09,1.58,4.62,0.19
LU,2020-06-10,1.56,4.38,0.19
LU,2020-06-11,1.58,4.09,0.23
LU,2020-06-12,1.5,3.98,0.25
LU,2020-06-13,1.51,3.94,0.28
LU,2020-06-14,1.55,3.72,0.32
LU,2020-06-15,1.64,3.76,0.36
LU,2020-06-16,1.71,3.73,0.44
LU,2020-06-17,1.71,3.53,0.5
LU,2020-06-18,1.75,3.52,0.56
LU,2020-06-19,1.76,3.43,0.61
LU,2020-06-20,1.73,3.25,0.64
LU,2020-06-21,1.65,3.03,0.65
LU,2020-06-22,1.52,2.84,0.63
LU,2020-06-23,1.42,2.61,0.6
LU,2020-06-24,1.34,2.45,0.57
LU,2020-06-25,1.25,2.31,0.55
LU,2020-06-26,1.22,2.21,0.52
LU,2020-06-27,1.17,2.09,0.52
LU,2020-06-28,1.15,2.02,0.51
LU,2020-06-29,1.11,1.99,0.5
LU,2020-06-30,1.13,1.99,0.51
LU,2020-07-01,1.15,2.01,0.53
LU,2020-07-02,1.19,2.04,0.57
LU,2020-07-03,1.24,2.08,0.61
LU,2020-07-04,1.25,2.12,0.64
LU,2020-07-05,1.28,2.13,0.66
LU,2020-07-06,1.27,2.09,0.67
LU,2020-07-07,1.23,1.98,0.66
LU,2020-07-08,1.15,1.89,0.61
LU,2020-07-09,1.09,1.79,0.56
LU,2020-07-10,1.04,1.7,0.53
LU,2020-07-11,0.99,1.63,0.51
LU,2020-07-12,0.93,1.56,0.48
LU,2020-07-13,0.9,1.5,0.45
LU,2020-07-14,0.86,1.47,0.42
LU,2020-07-15,0.85,1.46,0.4
LU,2020-07-16,0.87,1.5,0.4
LU,2020-07-17,0.92,1.57,0.44
LU,2020-07-18,1,1.67,0.48
LU,2020-07-19,1.07,1.76,0.53
LU,2020-07-20,1.16,1.89,0.59
LU,2020-07-21,1.24,1.99,0.66
LU,2020-07-22,1.31,2.09,0.7
LU,2020-07-23,1.37,2.13,0.77
LU,2020-07-24,1.39,2.14,0.8
LU,2020-07-25,1.38,2.12,0.82
LU,2020-07-26,1.36,2.06,0.81
LU,2020-07-27,1.32,1.97,0.78
LU,2020-07-28,1.26,1.89,0.76
LU,2020-07-29,1.21,1.8,0.74
LU,2020-07-30,1.19,1.76,0.74
LU,2020-07-31,1.19,1.74,0.74
LU,2020-08-01,1.2,1.73,0.76
LU,2020-08-02,1.17,1.7,0.76
LU,2020-08-03,1.12,1.63,0.72
LU,2020-08-04,1.06,1.55,0.66
LU,2020-08-05,0.98,1.44,0.61
LU,2020-08-06,0.91,1.36,0.56
LU,2020-08-07,0.86,1.29,0.52
LU,2020-08-08,0.83,1.25,0.49
LU,2020-08-09,0.81,1.23,0.47
LU,2020-08-10,0.8,1.23,0.46
LU,2020-08-11,0.78,1.23,0.45
LU,2020-08-12,0.77,1.22,0.43
LU,2020-08-13,0.77,1.22,0.41
LU,2020-08-14,0.79,1.26,0.42
LU,2020-08-15,0.84,1.33,0.45
LU,2020-08-16,0.92,1.46,0.5
LU,2020-08-17,1.03,1.6,0.58
LU,2020-08-18,1.12,1.72,0.64
